DATE,TIME,NAME,Mw,R_EPI,R_HYP,H,PGA_ew,PGA_ns,PGV_ew,PGV_ns,SOIL
20090720,"223508,6",KORR,"4,4","296,443","298,3431",33,"7,78E-05","9,15E-05","2,16E-06","2,45E-06","Суглинки, глины с прослоями песков"
20090720,"223508,6",ARNR,"4,4","278,101","280,1019",33,"4,51E-05","5,87E-05","1,63E-06","1,22E-06",Песчано-валунно-галечные отложения
20090720,"223508,6",SNJ,"4,4","236,479","238,8641",33,"5,89E-05","6,03E-05","3,18E-06","2,97E-06",Песчано-валунно-галечные отложения
20090720,"223508,6",BTKR,"4,4","256,747","258,9356",33,"3,82E-05","3,76E-05","2,31E-06","2,49E-06","Суглинки и супеси, ниже по разрезу глины"
20090720,"223508,6",ARNR,"4,4","278,101","280,1019",33,"4,62E-05","6,08E-05","1,70E-06","1,29E-06",Песчано-валунно-галечные отложения
20090720,"223508,6",PRTR,"4,4","281,674","283,6164",33,"1,76E-04","2,05E-04","6,47E-06","5,19E-06","Глина, суглинок, песчано-валунно-галечные отложения"
20090720,"223508,6",STDR,"4,4","295,509","297,3851",33,"2,38E-05","1,93E-05","7,40E-07","9,01E-07",Песчано-валунно-галечные отложения
20090907,"224136,4",VLKR,"6,2","119,005","119,1923",6,"4,33E-03","4,19E-03","5,14E-04","4,75E-04",Песчано-валунно-галечные отложения
20090908,"175048,3",VLKR,"4,3","116,459","116,4711",1,"1,53E-04","1,65E-04","1,57E-05","1,67E-05",Песчано-валунно-галечные отложения
20090908,"175048,3",VLKR,"4,3","116,459","116,4711",1,"1,48E-04","6,06E-04","1,51E-05","1,55E-05",Песчано-валунно-галечные отложения
20090908,"175048,3",LSNR,"4,3","86,597","86,6132",1,"0,00E+00","1,03E-03","0,00E+00","1,31E-05","Глины, суглинки, супесь,"
20090908,"175048,3",STDR,"4,3","105,721","105,7296",1,"2,12E-04","1,95E-04","1,18E-05","1,32E-05",Песчано-валунно-галечные отложения
20090908,"175048,3",PRTR,"4,3","151,595","151,5993",1,"1,11E-04","1,33E-04","1,11E-05","1,26E-05","Глина, суглинок, песчано-валунно-галечные отложения"
20090908,"175048,3",BTKR,"4,3","129,599","129,6088",1,"1,34E-04","1,31E-04","1,16E-05","1,21E-05","Суглинки и супеси, ниже по разрезу глины"
20090909,"83617,5",VLKR,"4,4","109,968","110,1707",6,"1,94E-04","1,88E-04","2,04E-05","1,98E-05",Песчано-валунно-галечные отложения
20090909,"83617,5",VLKR,"4,4","109,968","110,1707",6,"6,00E-04","0,00E+00","1,61E-05","0,00E+00",Песчано-валунно-галечные отложения
20090909,"83617,5",STDR,"4,4","103,004","103,1997",6,"1,56E-04","1,44E-04","1,13E-05","1,31E-05",Песчано-валунно-галечные отложения
20090909,"83617,5",LSNR,"4,4","85,147","85,4082",6,"0,00E+00","3,06E-04","0,00E+00","1,29E-05","Глины, суглинки, супесь,"
20090909,"83617,5",BTKR,"4,4","124,877","125,051",6,"1,29E-04","0,00E+00","1,17E-05","0,00E+00","Суглинки и супеси, ниже по разрезу глины"
20090909,"83617,5",PRTR,"4,4","149,08","149,2062",6,"2,79E-04","3,52E-04","1,11E-05","9,99E-06","Глина, суглинок, песчано-валунно-галечные отложения"
20090912,"94119,3",VLKR,"4,4","116,299","116,884",11,"1,53E-04","1,47E-04","1,76E-05","1,96E-05",Песчано-валунно-галечные отложения
20090912,"94119,3",VLKR,"4,4","116,299","116,884",11,"6,30E-04","5,65E-04","1,61E-05","1,55E-05",Песчано-валунно-галечные отложения
20090912,"94119,3",BTKR,"4,4","129,837","130,3537",11,"1,51E-04","1,28E-04","1,20E-05","1,22E-05","Суглинки и супеси, ниже по разрезу глины"
20090912,"94119,3",STDR,"4,4","106,305","106,9094",11,"1,70E-04","2,04E-04","1,16E-05","1,34E-05",Песчано-валунно-галечные отложения
20090912,"94119,3",PRTR,"4,4","152,222","152,6288",11,"1,80E-04","1,38E-04","1,15E-05","1,29E-05","Глина, суглинок, песчано-валунно-галечные отложения"
20100609,"172550,2",VLKR,"4,4","75,854","77,6663",16,"3,40E-04","3,65E-04","2,33E-05","2,63E-05",Песчано-валунно-галечные отложения
20100609,"172550,2",ARNR,"4,4","100,798","102,1267",16,"4,45E-04","3,04E-04","2,00E-05","1,50E-05",Песчано-валунно-галечные отложения
